ma_san_pham,ten_san_pham,mo_ta,thanh_phan,dinh_duong,size,ton_kho,doi_tuong_nen_dung,doi_tuong_chong_chi_dinh,tag_san_pham,link_san_pham,nguon_tham_khao
kombucha-vi-gung-tuoi,Kombucha vị gừng tươi,"Kombucha lên men vị gừng tươi, vị cay nhẹ, thơm ấm, phù hợp người thích đồ uống chua thanh và cảm giác sảng khoái sau bữa ăn.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, gừng tươi, hương gừng tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 25-45 kcal; đường 3-8g; carbohydrate 6-12g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích vị cay ấm; người muốn thay thế nước ngọt nhiều đường; người thích đồ uống lên men; người ăn uống cân bằng muốn thêm lựa chọn ít ngọt.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng thành phần; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ; người cần kiêng caffeine/cồn; người tiểu đường cần kiểm soát lượng đường.,"kombucha, gừng tươi, ít ngọt, lên men, probiotic, chua thanh, cay ấm",/products/kombucha-vi-gung-tuoi,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-huong-que,Kombucha hương quế,"Kombucha lên men hương quế, mùi thơm ấm, vị chua nhẹ, phù hợp mùa lạnh hoặc khách thích hương vị thảo mộc.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, quế/hương quế tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 25-45 kcal; đường 3-8g; carbohydrate 6-12g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích hương thảo mộc ấm; người muốn đồ uống chua nhẹ thay nước ngọt; người thích kombucha có mùi thơm rõ.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng quế; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ; người cần kiêng caffeine/cồn; người đang dùng thuốc/chống đông nên hỏi chuyên gia y tế.,"kombucha, hương quế, thảo mộc, lên men, ít ngọt, ấm bụng",/products/kombucha-huong-que,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-chanh-tuoi,Kombucha vị chanh tươi,"Kombucha lên men vị chanh tươi, chua thanh, mùi citrus rõ, phù hợp khách thích đồ uống giải khát nhẹ và ít ngọt.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, nước cốt/chiết xuất chanh tươi, hương chanh tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 20-40 kcal; đường 3-7g; carbohydrate 5-11g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích vị chua tươi; người muốn đồ uống giải khát ít ngọt; người thích vị citrus; phù hợp dùng lạnh sau bữa ăn nhẹ.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng citrus; người viêm loét dạ dày/trào ngược nặng; người ê buốt răng do đồ uống acid; trẻ nhỏ; người tiểu đường cần kiểm soát đường.,"kombucha, chanh tươi, citrus, chua thanh, ít ngọt, giải khát",/products/kombucha-vi-chanh-tuoi,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-chanh-vang,Kombucha vị chanh vàng,"Kombucha lên men vị chanh vàng, hương thơm dịu hơn chanh xanh, vị chua nhẹ, dễ uống và phù hợp khách mới thử kombucha.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, chanh vàng/chiết xuất lemon, hương chanh vàng tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 20-40 kcal; đường 3-7g; carbohydrate 5-11g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,"Người mới uống kombucha; người thích vị chanh dịu, thơm nhẹ; người muốn đồ uống ít ngọt thay soda.",Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng citrus; người viêm loét dạ dày/trào ngược nặng; người ê buốt răng; trẻ nhỏ; người cần kiêng caffeine/cồn.,"kombucha, chanh vàng, lemon, dễ uống, ít ngọt, citrus",/products/kombucha-vi-chanh-vang,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-nho,Kombucha vị nho,"Kombucha lên men vị nho, hương trái cây đậm, vị chua ngọt cân bằng, phù hợp khách thích đồ uống trái cây dễ uống.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, nước ép/chiết xuất nho, hương nho tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 30-55 kcal; đường 5-10g; carbohydrate 8-14g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích vị trái cây ngọt nhẹ; khách mới làm quen kombucha; người muốn thay thế nước ngọt có gas bằng lựa chọn lên men ít ngọt hơn.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng nho; người tiểu đường/kháng insulin cần kiểm soát lượng đường; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ.,"kombucha, nho, trái cây, chua ngọt, dễ uống, lên men",/products/kombucha-vi-nho,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-tao,Kombucha vị táo,"Kombucha lên men vị táo, hương thơm nhẹ, vị chua ngọt thanh, dễ uống hằng ngày khi dùng ở lượng vừa phải.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, nước ép/chiết xuất táo, hương táo tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 30-50 kcal; đường 4-9g; carbohydrate 7-13g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,"Người thích vị táo nhẹ; người mới uống kombucha; người muốn đồ uống lên men dễ uống, ít ngọt hơn soda thông thường.",Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng táo; người tiểu đường cần kiểm soát lượng đường; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ; người cần kiêng caffeine/cồn.,"kombucha, táo, trái cây, dễ uống, chua ngọt, ít ngọt",/products/kombucha-vi-tao,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-dao,Kombucha vị đào,"Kombucha lên men vị đào, mùi thơm ngọt dịu, vị chua thanh, phù hợp khách thích hương trái cây mềm và dễ uống.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, nước ép/chiết xuất đào, hương đào tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 30-55 kcal; đường 5-10g; carbohydrate 8-14g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích vị đào thơm dịu; khách mới uống kombucha; người muốn đồ uống trái cây lên men có gas nhẹ.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng đào; người tiểu đường cần kiểm soát đường; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ; người cần kiêng caffeine/cồn.,"kombucha, đào, thơm dịu, trái cây, dễ uống, lên men",/products/kombucha-vi-dao,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-dau-tay,Kombucha vị dâu tây,"Kombucha lên men vị dâu tây, hương berry ngọt nhẹ, vị chua thanh, phù hợp khách thích đồ uống trái cây tươi mát.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, dâu tây/nước ép dâu tây, hương dâu tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 30-55 kcal; đường 5-10g; carbohydrate 8-14g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích vị berry; người muốn đồ uống chua ngọt dễ uống; phù hợp khách trẻ hoặc người mới thử kombucha.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng dâu tây/berry; người tiểu đường cần kiểm soát đường; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ.,"kombucha, dâu tây, berry, chua ngọt, dễ uống, trái cây",/products/kombucha-vi-dau-tay,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-luu-do,Kombucha vị lựu đỏ,"Kombucha lên men vị lựu đỏ, màu sắc bắt mắt, vị chua ngọt nhẹ, phù hợp khách thích hương trái cây đậm và cảm giác tươi mát.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, nước ép/chiết xuất lựu đỏ, hương lựu tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 30-55 kcal; đường 5-10g; carbohydrate 8-14g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích vị lựu chua ngọt; người muốn đồ uống trái cây lên men; người thích sản phẩm có màu sắc đẹp và vị nổi bật.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng lựu; người tiểu đường cần kiểm soát đường; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ; người đang dùng thuốc nên hỏi chuyên gia y tế nếu dùng thường xuyên.,"kombucha, lựu đỏ, pomegranate, trái cây, chua ngọt, lên men",/products/kombucha-vi-luu-do,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
kombucha-vi-dua,Kombucha vị dừa,"Kombucha lên men vị dừa, hương thơm béo nhẹ, vị chua thanh, phù hợp khách thích cảm giác nhiệt đới và dễ uống.","Trà lên men kombucha, SCOBY, đường mía dùng cho quá trình lên men, nước, nước dừa/chiết xuất dừa, hương dừa tự nhiên, CO2 tự nhiên từ lên men.","Ước tính/330ml: 30-60 kcal; đường 4-10g; carbohydrate 7-14g; caffeine thấp; có acid hữu cơ, polyphenol, vi sinh vật lên men; có thể chứa cồn vết <0.5% tùy quy trình.",330ml/chai; 500ml/chai; thùng 12 chai,Còn hàng,Người thích vị dừa nhiệt đới; người muốn đồ uống lên men chua thanh nhưng có hậu vị mềm; phù hợp uống lạnh.,Phụ nữ mang thai/cho con bú nên hỏi bác sĩ; người suy giảm miễn dịch; người dị ứng dừa; người cần kiểm soát đường/calo; người viêm loét dạ dày/trào ngược nặng; trẻ nhỏ; người cần kiêng caffeine/cồn.,"kombucha, dừa, nhiệt đới, chua thanh, dễ uống, lên men",/products/kombucha-vi-dua,https://pmc.ncbi.nlm.nih.gov/articles/PMC9975612/ ; https://www.mdanderson.org/cancerwise/what-are-the-benefits-of-drinking-kombucha.h00-159542901.html ; https://www.webmd.com/diet/the-truth-about-kombucha ; https://en.wikipedia.org/wiki/Kombucha
